1_ortho	2_phon	3_lemme	4_cgram	5_genre	6_nombre	7_freqlemfilms2	8_freqlemlivres	9_freqfilms2	10_freqlivres	11_infover	12_nbhomogr	13_nbhomoph	14_islem	15_nblettres	16_nbphons	17_cvcv	18_p_cvcv	19_voisorth	20_voisphon	21_puorth	22_puphon	23_syll	24_nbsyll	25_cv-cv	26_orthrenv	27_phonrenv	28_orthosyll	29_cgramortho	30_deflem	31_defobs	32_old20	33_pld20	34_morphoder	35_nbmorph
abjects	abZEkt	abject	ADJ	m	p	2.19	3.92	0.05	0.54		1	4	0	7	6	VCCVCCC	VCCVCC	1	1	0	6	ab-ZEkt	2	VC-CVCC	stcejba	tkEZba	ab-jects	ADJ	90	22	2.4	2.45	abject	1
abjurant	abZyR@	abjurer	VER			1.53	1.28	0.14	0.00	par:pre;	1	1	0	8	6	VCCVCVCC	VCCVCV	1	3	0	0	ab-Zy-R@	3	VC-CV-CV	tnarujba	@RyZba		VER	82	17	2.35	1.8	abjurer	1
abjuration	abZyRasj§	abjuration	NOM	f	s	0.00	0.47	0.00	0.41		1	2	1	10	9	VCCVCVCVVC	VCCVCVCYV	1	1	6	6	ab-Zy-Ra-sj§	4	VC-CV-CV-CYV	noitarujba	§jsaRyZba	ab-ju-ra-tion	NOM	72	18	2.6	2.75	abjurer-ion	2
abjurations	abZyRasj§	abjuration	NOM	f	p	0.00	0.47	0.00	0.07		1	2	0	11	9	VCCVCVCVVCC	VCCVCVCYV	1	1	0	6	ab-Zy-Ra-sj§	4	VC-CV-CV-CYV	snoitarujba	§jsaRyZba	ab-ju-ra-tions	NOM	72	18	2.65	2.75	abjurer-ion	2
abjure	abZyR	abjurer	VER			1.53	1.28	0.77	0.14	imp:pre:2s;ind:pre:1s;ind:pre:3s;	1	1	0	6	5	VCCVCV	VCCVC	2	1	0	0	ab-ZyR	2	VC-CVC	erujba	RyZba	ab-ju-re	VER	82	17	1.8	1.8	abjurer	1
abjurer	abZyRe	abjurer	VER			1.53	1.28	0.22	0.68	inf;	1	3	1	7	6	VCCVCVC	VCCVCV	2	3	6	6	ab-Zy-Re	3	VC-CV-CV	rerujba	eRyZba	ab-ju-rer	VER	82	17	1.95	1.8	abjurer	1
abjurez	abZyRe	abjurer	VER			1.53	1.28	0.40	0.00	imp:pre:2p;ind:pre:2p;	1	3	0	7	6	VCCVCVC	VCCVCV	1	3	0	6	ab-Zy-Re	3	VC-CV-CV	zerujba	eRyZba	ab-ju-rez	VER	82	17	2.3	1.8	abjurer	1
abjurons	abZyR§	abjurer	VER			1.53	1.28	0.00	0.07	ind:pre:1p;	1	1	0	8	6	VCCVCVCC	VCCVCV	0	2	0	0	ab-Zy-R§	3	VC-CV-CV	snorujba	§RyZba	ab-ju-rons	VER	82	17	2.65	1.9	abjurer	1
abjuré	abZyRe	abjurer	VER	m	s	1.53	1.28	0.00	0.41	par:pas;	1	3	0	6	6	VCCVCV	VCCVCV	2	3	0	6	ab-Zy-Re	3	VC-CV-CV	érujba	eRyZba	ab-ju-ré	VER	82	17	1.95	1.8	abjurer	1
abkhaze	abkaz	abkhaze	ADJ	f	s	0.00	0.07	0.00	0.07		1	1	1	7	5	VCCCVCV	VCCVC	0	0	3	3	ab-kaz	2	VC-CVC	ezahkba	zakba	ab-kha-ze	ADJ	10	29	3.75	2	abkhaze	1
ablatif	ablatif	ablatif	NOM	m	s	0.00	0.14	0.00	0.14		1	1	1	7	7	VCCVCVC	VCCVCVC	1	1	7	5	a-bla-tif	3	V-CCV-CVC	fitalba	fitalba	a-bla-tif	NOM	77	22	2.4	2.4	ablation-if	2
ablation	ablasj§	ablation	NOM	f	s	0.45	1.35	0.43	1.28		1	2	1	8	7	VCCVCVVC	VCCVCYV	2	2	7	5	a-bla-sj§	3	V-CCV-CYV	noitalba	§jsalba	a-bla-tion	NOM	91	23	2.15	1.9	ablation	1
ablations	ablasj§	ablation	NOM	f	p	0.45	1.35	0.03	0.07		1	2	0	9	7	VCCVCVVCC	VCCVCYV	1	2	0	5	a-bla-sj§	3	V-CCV-CYV	snoitalba	§jsalba	a-bla-tions	NOM	91	23	2.2	1.9	ablation	1
able	abl	able	NOM	m	s	0.68	0.14	0.68	0.14		1	1	1	4	3	VCCV	VCC	1	9	4	3	abl	1	VCC	elba	lba	a-ble	NOM	13	22	1.6	1.05	able	1
ablette	ablEt	ablette	NOM	f	s	0.14	0.95	0.00	0.41		1	2	1	7	5	VCCVCCV	VCCVC	1	1	5	4	a-blEt	2	V-CCVC	ettelba	tElba	a-blet-te	NOM	50	34	1.8	1.8	able-ette	2
ablettes	ablEt	ablette	NOM	f	p	0.14	0.95	0.14	0.54		1	2	0	8	5	VCCVCCVC	VCCVC	1	1	0	4	a-blEt	2	V-CCVC	settelba	tElba	a-blet-tes	NOM	50	34	1.8	1.8	able-ette	2
ablution	ablysj§	ablution	NOM	f	s	0.48	1.55	0.01	0.14		1	2	1	8	7	VCCVCVVC	VCCVCYV	1	1	4	4	a-bly-sj§	3	V-CCV-CYV	noitulba	§jsylba	a-blu-tion	NOM	73	23	2.35	2.4	ablution	1
ablutions	ablysj§	ablution	NOM	f	p	0.48	1.55	0.47	1.42		1	2	0	9	7	VCCVCVVCC	VCCVCYV	1	1	0	4	a-bly-sj§	3	V-CCV-CYV	snoitulba	§jsylba	a-blu-tions	NOM	73	23	2.3	2.4	ablution	1
